medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-02,GREAT BRITAIN,GBR,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--GBR01
Bronze Medal,3,2024-08-02,SWITZERLAND,SUI,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--SUI01
Gold Medal,1,2024-08-02,NETHERLANDS,NED,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--NED01
Silver Medal,2,2024-08-02,ROMANIA,ROU,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--ROU01
Bronze Medal,3,2024-08-02,AUSTRALIA,AUS,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--AUS01
Gold Medal,1,2024-08-02,BOTIN/TRITTEL,ESP,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----ESP01
Silver Medal,2,2024-08-02,MCHARDIE/MCKENZIE,NZL,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----NZL01
Bronze Medal,3,2024-08-02,BARROWS/HENKEN,USA,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----USA01
Gold Medal,1,2024-08-02,AANHOLT/DUETZ,NED,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--NED01
Silver Medal,2,2024-08-02,BOBECK/NETZLER,SWE,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--SWE01
Bronze Medal,3,2024-08-02,STEYAERT/PICON,FRA,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--FRA01
Gold Medal,1,2024-08-02,CHIARA LEONE,SUI,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1977709
Silver Medal,2,2024-08-02,SAGEN MADDALENA,USA,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1944373
Bronze Medal,3,2024-08-02,ZHANG QIONGYUE,CHN,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1913972
Gold Medal,1,2024-08-02,LEON MARCHAND,FRA,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1909294
Silver Medal,2,2024-08-02,DUNCAN SCOTT,GBR,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1903621
Bronze Medal,3,2024-08-02,WANG SHUN,CHN,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1945186
Gold Medal,1,2024-08-02,CAMERON MCEVOY,AUS,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1946161
Silver Medal,2,2024-08-02,BENJAMIN PROUD,GBR,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1903616
Bronze Medal,3,2024-08-02,FLORENT MANAUDOU,FRA,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1909292
Gold Medal,1,2024-08-02,KAYLEE MCKEOWN,AUS,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1946198
Silver Medal,2,2024-08-02,REGAN SMITH,USA,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1935984
Bronze Medal,3,2024-08-02,KYLIE MASSE,CAN,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1967104
Gold Medal,1,2024-08-02,SINIAKOVA/MACHAC,CZE,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,TENXDOUBLES-CZE01
Silver Medal,2,2024-08-02,WANG/ZHANG,CHN,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,TENXDOUBLES-CHN01
Bronze Medal,3,2024-08-02,DABROWSKI/AUGER-ALIAS,CAN,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--,TENXDOUBLES-CAN01
Bronze Medal,3,2024-08-02,IGA SWIATEK,POL,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000200--,1931815
Gold Medal,1,2024-08-03,LIM SIHYEON,KOR,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--,1902147
Silver Medal,2,2024-08-03,NAM SUHYEON,KOR,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--,1902148
Bronze Medal,3,2024-08-03,LISA BARBELIN,FRA,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000200--,1541265
Gold Medal,1,2024-08-03,CARLOS EDRIEL YULO,PHI,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1975874
Silver Medal,2,2024-08-03,ARTEM DOLGOPYAT,ISR,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1908195
Bronze Medal,3,2024-08-03,JAKE JARMAN,GBR,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1904741
Gold Medal,1,2024-08-03,RHYS MC CLENAGHAN,IRL,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1539986
Silver Medal,2,2024-08-03,NARIMAN KURBANOV,KAZ,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1931577
Bronze Medal,3,2024-08-03,STEPHEN NEDOROSCIK,USA,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1959865
Gold Medal,1,2024-08-03,SIMONE BILES,USA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1959861
Silver Medal,2,2024-08-03,REBECA ANDRADE,BRA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1953634
Bronze Medal,3,2024-08-03,JADE CAREY,USA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1959819
Gold Medal,1,2024-08-03,NETHERLANDS,NED,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--NED01
Silver Medal,2,2024-08-03,UNITED STATES,USA,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--USA01
Bronze Medal,3,2024-08-03,GREAT BRITAIN,GBR,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--GBR01
Gold Medal,1,2024-08-03,MARKUS ROOTH,NOR,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1878353
Silver Medal,2,2024-08-03,LEO NEUGEBAUER,GER,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1920180
Bronze Medal,3,2024-08-03,LINDON VICTOR,GRN,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1573388
Gold Medal,1,2024-08-03,RYAN CROUSER,USA,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1960688
Silver Medal,2,2024-08-03,JOE KOVACS,USA,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1965246
Bronze Medal,3,2024-08-03,RAJINDRA CAMPBELL,JAM,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1564189
Gold Medal,1,2024-08-03,JULIEN ALFRED,LCA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1537325
Silver Medal,2,2024-08-03,SHA'CARRI RICHARDSON,USA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1960181
Bronze Medal,3,2024-08-03,MELISSA JEFFERSON,USA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1961011
Gold Medal,1,2024-08-03,THEA LAFOND,DMA,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1908333
Silver Medal,2,2024-08-03,SHANIEKA RICKETTS,JAM,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1536885
Bronze Medal,3,2024-08-03,JASMINE MOORE,USA,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1965250
Gold Medal,1,2024-08-03,CHEN/JIA,CHN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,BDMWDOUBLES-CHN02
Silver Medal,2,2024-08-03,LIU/TAN,CHN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,BDMWDOUBLES-CHN01
Bronze Medal,3,2024-08-03,MATSUYAMA/SHIDA,JPN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000200--,BDMWDOUBLES-JPN01
Bronze Medal,3,2024-08-03,WU SHIH YI,TPE,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--,1887970
Bronze Medal,3,2024-08-03,BEATRIZ IASMIN SOARES FERREIRA,BRA,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000200--,1952540
Gold Medal,1,2024-08-03,REMCO EVENEPOEL,BEL,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1903136
Silver Medal,2,2024-08-03,VALENTIN MADOUAS,FRA,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1895699
Bronze Medal,3,2024-08-03,CHRISTOPHE LAPORTE,FRA,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1895694
Gold Medal,1,2024-08-03,GERMANY,GER,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMGER01
Silver Medal,2,2024-08-03,DENMARK,DEN,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMDEN01
Bronze Medal,3,2024-08-03,GREAT BRITAIN,GBR,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMGBR01
Gold Medal,1,2024-08-03,UKRAINE,UKR,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--,FENWTEAMSABRUKR01
Silver Medal,2,2024-08-03,KOREA,KOR,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--,FENWTEAMSABRKOR01
Bronze Medal,3,2024-08-03,JAPAN,JPN,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000200--,FENWTEAMSABRJPN01
Gold Medal,1,2024-08-03,FRANCE,FRA,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/fnl-00010000,JUDXTEAM6---FRA01
Silver Medal,2,2024-08-03,JAPAN,JPN,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/fnl-00010000,JUDXTEAM6---JPN01
Bronze Medal,3,2024-08-03,BRAZIL,BRA,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/repf00010000,JUDXTEAM6---BRA01
Bronze Medal,3,2024-08-03,KOREA,KOR,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/repf00020000,JUDXTEAM6---KOR01
